PARK,BOROUGH,QUARTER,SIZE (ACRES),CATEGORY,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL
PELHAM BAY PARK,BRONX,1,2771.747,ONE ACRE OR LARGER,0,1,1,0,0,0,0,2
VAN CORTLANDT PARK,BRONX,1,1146.43,ONE ACRE OR LARGER,0,0,2,1,0,0,0,3
ROCKAWAY BEACH AND BOARDWALK,QUEENS,1,1072.564,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FRESHKILLS PARK,STATEN ISLAND,1,913.32,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FLUSHING MEADOWS CORONA PARK,QUEENS,1,897.69,ONE ACRE OR LARGER,0,0,0,0,1,2,2,5
LATOURETTE PARK & GOLF COURSE,STATEN ISLAND,1,843.97,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MARINE PARK,BROOKLYN,1,798,ONE ACRE OR LARGER,0,0,0,0,0,2,0,2
BELT PARKWAY/SHORE PARKWAY,BROOKLYN/QUEENS,1,760.43,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BRONX PARK,BRONX,1,718.373,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FRANKLIN D. ROOSEVELT BOARDWALK AND BEACH,STATEN ISLAND,1,644.35,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ALLEY POND PARK,QUEENS,1,635.514,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PROSPECT PARK,BROOKLYN,1,526.25,ONE ACRE OR LARGER,0,0,1,,0,1,0,2
FOREST PARK,QUEENS,1,506.86,ONE ACRE OR LARGER,0,0,1,,0,0,0,1
GRAND CENTRAL PARKWAY,QUEENS,1,460.16,ONE ACRE OR LARGER,0,0,0,,0,0,0,0
FERRY POINT PARK,BRONX,1,413.8,ONE ACRE OR LARGER,0,0,0,,0,0,0,0
CONEY ISLAND BEACH & BOARDWALK,BROOKLYN,1,399.203,ONE ACRE OR LARGER,0,0,0,,0,0,0,0
CUNNINGHAM PARK,QUEENS,1,358,ONE ACRE OR LARGER,0,0,0,,0,0,0,0
RICHMOND PARKWAY,STATEN ISLAND,1,350.983,ONE ACRE OR LARGER,0,0,0,,0,0,0,0
CROSS ISLAND PARKWAY,QUEENS,1,326.895,ONE ACRE OR LARGER,0,0,0,,0,0,0,0
GREAT KILLS PARK,STATEN ISLAND,1,315.094,ONE ACRE OR LARGER,0,0,0,,0,0,0,0
