PARK,BOROUGH,QUARTER,SIZE (ACRES),CATEGORY,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL
PELHAM BAY PARK,BRONX        ,4,2771.75,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
VAN CORTLANDT PARK,BRONX        ,4,1146.43,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1
ROCKAWAY BEACH AND BOARDWALK,QUEENS       ,4,1072.56,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FRESHKILLS PARK,STATEN ISLAND,4,913.32,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FLUSHING MEADOWS CORONA PARK,QUEENS       ,4,897.69,ONE ACRE OR LARGER,0,0,1,1,0,9,1,12
LATOURETTE PARK & GOLF COURSE,STATEN ISLAND,4,843.97,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MARINE PARK,BROOKLYN     ,4,798.00,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BELT PARKWAY/SHORE PARKWAY,BROOKLYN/QUEENS,4,760.43,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BRONX PARK,BRONX        ,4,718.37,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
FRANKLIN D. ROOSEVELT BOARDWALK AND BEACH,STATEN ISLAND,4,644.35,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ALLEY POND PARK,QUEENS       ,4,635.51,ONE ACRE OR LARGER,0,0,0,0,0,2,0,2
PROSPECT PARK,BROOKLYN     ,4,526.25,ONE ACRE OR LARGER,0,0,2,0,1,6,0,9
FOREST PARK,QUEENS       ,4,506.86,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
GRAND CENTRAL PARKWAY,QUEENS       ,4,460.16,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FERRY POINT PARK,BRONX        ,4,413.80,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CONEY ISLAND BEACH & BOARDWALK,BROOKLYN     ,4,399.20,ONE ACRE OR LARGER,0,0,3,0,1,1,0,5
CUNNINGHAM PARK,QUEENS       ,4,358.00,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
RICHMOND PARKWAY,STATEN ISLAND,4,350.98,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CROSS ISLAND PARKWAY,QUEENS       ,4,326.90,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
GREAT KILLS PARK,STATEN ISLAND,4,315.09,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
